,code,name,reservedPerShare,bvps,perundp,trade,total,end
951,600169,太原重工,0.51,1.84,0.22,4.4,2.57,1.83
1481,601218,吉鑫科技,0.59,2.54,0.83,5.8,3.96,1.84
1381,600106,重庆路桥,0.06,3.72,1.63,7.26,5.41,1.85
923,905,厦门港务,0.49,5.42,3.42,11.18,9.33,1.85
890,600094,大名城,2.36,4.25,0.76,9.22,7.37,1.85
1866,600606,绿地控股,0.74,4.64,2.53,9.78,7.91,1.87
1190,2496,辉丰股份,0.64,2.26,0.55,5.33,3.45,1.88
2297,2083,孚日股份,1.39,3.36,0.8,7.44,5.55,1.89
1710,875,吉电股份,1.79,2.68,-0.18,6.19,4.29,1.9
825,655,金岭矿业,0.82,5.09,2.76,10.58,8.67,1.91
538,599,青岛双星,1.77,3.89,1.04,8.62,6.7,1.92
1808,2391,长青股份,4.53,8.07,2.19,16.71,14.79,1.92
2258,2225,濮耐股份,1.1,2.95,0.77,6.75,4.82,1.93
2501,601958,金钼股份,2.09,3.93,0.55,8.5,6.57,1.93
2035,600096,云天化,4.16,4.28,-1.16,9.22,7.28,1.94
2403,420,吉林化纤,1.21,1.37,-0.44,4.08,2.14,1.94
1502,600798,宁波海运,1.13,2.6,0.25,5.93,3.98,1.95
1555,600255,鑫科材料,0.66,1.75,0.04,4.4,2.45,1.95
1036,600879,航天电子,3.28,8.27,2.6,16.1,14.15,1.95
2125,600611,大众交通,0.06,3.87,1.14,7.05,5.07,1.98
1527,600595,中孚实业,1.62,2.83,0.07,6.5,4.52,1.98
1646,2610,爱康科技,0.31,1.37,0.05,3.71,1.73,1.98
1087,90,天健集团,1.9,5.03,1.3,10.21,8.23,1.98
1219,837,秦川机床,2.1,3.99,0.76,8.84,6.85,1.99
2436,600063,皖维高新,0.36,2.27,0.16,4.79,2.79,2.0
1040,631,顺发恒业,0.57,2.26,0.57,5.4,3.4,2.0
