,code,trade
1328,300351,27.76
1329,300350,30.59
1330,300349,0.0
1331,300348,30.5
1332,300347,29.18
1333,300346,35.3
1334,300345,13.16
1335,300344,16.63
1336,300343,23.45
1337,300342,23.97
1338,300341,12.55
1339,300340,67.02
1340,300339,34.43
1341,300338,25.9
1342,300337,11.42
1343,300336,20.97
1344,300335,20.16
1345,300334,20.79
1346,300333,19.98
1347,300332,10.35
1348,300331,30.24
1349,300330,19.79
1350,300329,18.7
1351,300328,13.55
1352,300327,39.92
1353,300326,13.07
1354,300325,7.59
1355,300324,22.03
1356,300323,0.0
1357,300322,17.81
1358,300321,40.5
1359,300320,18.8
1360,300319,34.58
1361,300318,10.18
1362,300317,43.1
1363,300316,12.27
1364,300315,10.17
1365,300314,23.51
1366,300313,18.58
1367,300312,15.97
1368,300311,0.0
1369,300310,27.85
1370,300309,21.13
1371,300308,23.9
1372,300307,12.33
1373,300306,25.94
1374,300305,13.6
1375,300304,40.15
1376,300303,9.8
1377,300302,28.35
1378,300301,10.0
1379,300300,28.11
1380,300299,25.78
1381,300298,21.86
1382,300297,14.28
1383,300296,32.53
1384,300295,33.79
1385,300294,61.66
1386,300293,19.32
1387,300292,10.3
1388,300291,23.19
1389,300290,15.85
1390,300289,13.96
1391,300288,32.05
1392,300287,13.58
1393,300286,31.37
1394,300285,38.32
1395,300284,22.83
1396,300283,11.04
1397,300282,33.41
1398,300281,20.05
1399,300280,33.09
1400,300279,51.91
1401,300278,21.05
1402,300277,13.89
1403,300276,0.0
1404,300275,21.24
1405,300274,11.63
1406,300273,0.0
1407,300272,16.26
1408,300271,19.24
1409,300270,17.33
1410,300269,24.0
1411,300268,0.0
1412,300267,14.49
1413,300266,50.06
1414,300265,16.69
1415,300264,12.43
1416,300263,8.2
1417,300262,18.16
1418,300261,11.76
1419,300260,37.15
1420,300259,11.58
1421,300258,14.78
1422,300257,16.79
1423,300256,14.44
1424,300255,9.09
1425,300254,21.0
1426,300253,22.65
1427,300252,33.59
1428,300251,11.2
1429,300250,33.79
1430,300249,15.68
1431,300248,25.72
1432,300247,9.46
1433,300246,38.16
1434,300245,21.31
1435,300244,33.32
1436,300243,0.0
1437,300242,17.38
1438,300241,17.34
1439,300240,12.19
1440,300239,8.87
1441,300238,42.19
1442,300237,16.03
1443,300236,43.45
1444,300235,26.2
1445,300234,22.92
1446,300233,0.0
1447,300232,15.89
1448,300231,20.95
1449,300230,35.86
1450,300229,20.17
1451,300228,15.84
1452,300227,0.0
1453,300226,50.08
1454,300225,10.11
1455,300224,21.08
1456,300223,0.0
1457,300222,22.44
1458,300221,21.28
1459,300220,34.56
1460,300219,0.0
1461,300218,19.59
1462,300217,5.11
1463,300216,35.86
1464,300215,16.52
1465,300214,8.94
1466,300213,0.0
1467,300212,34.66
1468,300211,13.98
1469,300210,22.72
1470,300209,33.98
1471,300208,18.06
1472,300207,13.98
1473,300206,10.5
1474,300205,15.32
1475,300204,19.52
1476,300203,29.99
1477,300202,27.79
1478,300201,8.66
1479,300200,0.0
1480,300199,20.06
1481,300198,6.69
1482,300197,12.25
1483,300196,40.77
1484,300195,18.71
1485,300194,28.0
1486,300193,10.84
1487,300192,15.15
1488,300191,40.96
1489,300190,17.88
1490,300189,5.52
1491,300188,24.04
1492,300187,13.94
1493,300185,3.32
1494,300184,16.35
1495,300183,27.21
